generation,best_fitness,mean_fitness,best_kp,best_ki,best_kd,best_mean_error,best_final_error,best_overshoot,best_settling_time
0,0.5629510157138299,1.9776033609140942,5.973001700606356,0.05489736303782739,1.4174222567174692,0.03720261115803558,0.002456933185571608,0.011755091699486853,0.84
1,0.5629510157138299,1.038376681509539,5.973001700606356,0.05489736303782739,1.4174222567174692,0.03720261115803558,0.002456933185571608,0.011755091699486853,0.84
2,0.5629510157138299,0.7160676331376189,5.973001700606356,0.05489736303782739,1.4174222567174692,0.03720261115803558,0.002456933185571608,0.011755091699486853,0.84
3,0.5629510157138299,0.6146969480539693,5.973001700606356,0.05489736303782739,1.4174222567174692,0.03720261115803558,0.002456933185571608,0.011755091699486853,0.84
4,0.5629510157138299,0.6447225570735877,5.973001700606356,0.05489736303782739,1.4174222567174692,0.03720261115803558,0.002456933185571608,0.011755091699486853,0.84
5,0.562355748105961,0.5670858338036587,5.749301555624918,0.053013885300508296,1.3600863915124843,0.03724609360797646,0.0024573773766890517,0.013354413570966006,0.8200000000000001
6,0.5288825636010963,0.6082664327365823,5.443033631536049,0.0,1.2966594085493153,0.035047990379488386,0.0,0.00995275494683745,0.84
7,0.522681187478824,0.6414398658174891,5.583793298081864,0.017130521018169767,1.3925924731098451,0.03576334000232043,0.0008731537483565033,0.0016445952063594005,0.86
8,0.522681187478824,0.5894990941880557,5.583793298081864,0.017130521018169767,1.3925924731098451,0.03576334000232043,0.0008731537483565033,0.0016445952063594005,0.86
9,0.5090829682197305,0.5548256497746713,5.982273873325741,0.0,1.5,0.03512948540544248,0.0,0.0,0.86
10,0.508743505981809,0.5553891913352965,5.991556273193186,0.0,1.4947399885935377,0.03505473939439974,0.0,8.89912829276085e-05,0.86
11,0.5087275916171569,0.5513746069777178,5.9904624765655825,0.0,1.49535980489317,0.035062456712593365,0.0,5.987626953551928e-05,0.86
12,0.5087266374189502,0.519415444872386,5.989890955683231,0.0,1.4956836657915509,0.03506660147088992,0.0,4.7217290522372224e-05,0.86
13,0.5087266374189502,0.5366301951932438,5.989890955683231,0.0,1.4956836657915509,0.03506660147088992,0.0,4.7217290522372224e-05,0.86
14,0.508726192318075,0.5178852764234496,5.990068577732856,0.0,1.4955830135873356,0.035065327604791446,0.0,5.081540988083333e-05,0.86
15,0.508726192318075,0.5474195173623201,5.990068577732856,0.0,1.4955830135873356,0.035065327604791446,0.0,5.081540988083333e-05,0.86
16,0.508726192318075,0.5181937662589317,5.990068577732856,0.0,1.4955830135873356,0.035065327604791446,0.0,5.081540988083333e-05,0.86
17,0.5087195647312652,0.5376272972450017,6.0,0.0,1.4974240321491519,0.03506051366843941,0.0,6.207383176992654e-05,0.86
18,0.5087195647312652,0.5376103638898354,6.0,0.0,1.4974240321491519,0.03506051366843941,0.0,6.207383176992654e-05,0.86
19,0.5087195647312652,0.5351864165042937,6.0,0.0,1.4974240321491519,0.03506051366843941,0.0,6.207383176992654e-05,0.86
20,0.5087195647312652,0.5461047014147818,6.0,0.0,1.4974240321491519,0.03506051366843941,0.0,6.207383176992654e-05,0.86
21,0.5087195647312652,0.5400195537599579,6.0,0.0,1.4974240321491519,0.03506051366843941,0.0,6.207383176992654e-05,0.86
22,0.5087195647312652,0.5328637011378637,6.0,0.0,1.4974240321491519,0.03506051366843941,0.0,6.207383176992654e-05,0.86
23,0.5087195647312652,0.531134340917271,6.0,0.0,1.4974240321491519,0.03506051366843941,0.0,6.207383176992654e-05,0.86
24,0.5087195647312652,0.5515590277404026,6.0,0.0,1.4974240321491519,0.03506051366843941,0.0,6.207383176992654e-05,0.86
25,0.5087195647312652,0.5246750458107604,6.0,0.0,1.4974240321491519,0.03506051366843941,0.0,6.207383176992654e-05,0.86
26,0.5087195647312652,0.5233875125604734,6.0,0.0,1.4974240321491519,0.03506051366843941,0.0,6.207383176992654e-05,0.86
27,0.5087195647312652,0.5272092049009536,6.0,0.0,1.4974240321491519,0.03506051366843941,0.0,6.207383176992654e-05,0.86
28,0.5087195647312652,0.5290196166128902,6.0,0.0,1.4974240321491519,0.03506051366843941,0.0,6.207383176992654e-05,0.86
29,0.5087195647312652,0.5713036599447846,6.0,0.0,1.4974240321491519,0.03506051366843941,0.0,6.207383176992654e-05,0.86
30,0.5087173484598613,0.5139588926234793,6.0,0.0,1.4982267198693016,0.03506783663960221,0.0,3.94348306829162e-05,0.86
31,0.5087160285854219,0.5304710438826156,6.0,0.0,1.497994639370594,0.03506569494483311,0.0,4.52809608965099e-05,0.86
32,0.5087160261013274,0.5213879261400682,5.999999999999999,0.0,1.497995438533434,0.03506570231546598,0.0,4.525804376864784e-05,0.86
33,0.5087160261013274,0.5420964954545263,5.999999999999999,0.0,1.497995438533434,0.03506570231546598,0.0,4.525804376864784e-05,0.86
34,0.5087160052902696,0.5322899185086496,6.0,0.0,1.4980021314026066,0.03506576404318382,0.0,4.5066114129244106e-05,0.86
